orig,SC,TC
uni7669,uni7669-SC,uni7669-TC
uni766B,uni766B-SC,uni766B-TC
uni7672,uni7672-SC,uni7672-TC
uni7688,uni7688-SC,uni7688-TC
uni7690,uni7690-SC,uni7690-TC
uni7693,uni7693-SC,uni7693-TC
uni76D1,uni76D1-SC,uni76D1-TC
uni76E3,uni76E3-SC,uni76E3-TC
uni76E6,uni76E6-SC,uni76E6-TC
uni76F4,uni76F4-SC,uni76F4-TC
uni76F9,uni76F9-SC,uni76F9-TC
uni770C,uni770C-SC,uni770C-TC
uni771F,uni771F-SC,uni771F-TC
uni7721,uni7721-SC,uni7721-TC
uni773E,uni773E-SC,uni773E-TC
uni7740,uni7740-SC,uni7740-TC
uni775B,uni775B-SC,uni775B-TC
uni7769,uni7769-SC,uni7769-TC
uni776D,uni776D-SC,uni776D-TC
uni7787,uni7787-SC,uni7787-TC
uni778B,uni778B-SC,uni778B-TC
uni778D,uni778D-SC,uni778D-TC
uni77A2,uni77A2-SC,uni77A2-TC
uni77B0,uni77B0-SC,uni77B0-TC
uni77D7,uni77D7-SC,uni77D7-TC
uni77DA,uni77DA-SC,uni77DA-TC
uni77DC,uni77DC-SC,uni77DC-TC
uni77FE,uni77FE-SC,uni77FE-TC
uni7818,uni7818-SC,uni7818-TC
uni781B,uni781B-SC,uni781B-TC
